model_loaded: update=- micro=- elapsed=8.7s
forward_started: update=1 micro=1 elapsed=8.7s
backward_finished: update=1 micro=1 elapsed=12.5s
forward_started: update=1 micro=2 elapsed=12.5s
backward_finished: update=1 micro=2 elapsed=16.0s
forward_started: update=1 micro=3 elapsed=16.0s
backward_finished: update=1 micro=3 elapsed=19.0s
forward_started: update=1 micro=4 elapsed=19.0s
backward_finished: update=1 micro=4 elapsed=21.8s
optimizer_finished: update=1 micro=- elapsed=21.9s
forward_started: update=2 micro=1 elapsed=21.9s
backward_finished: update=2 micro=1 elapsed=26.2s
forward_started: update=2 micro=2 elapsed=26.2s
backward_finished: update=2 micro=2 elapsed=30.2s
forward_started: update=2 micro=3 elapsed=30.2s
backward_finished: update=2 micro=3 elapsed=33.7s
forward_started: update=2 micro=4 elapsed=33.7s
backward_finished: update=2 micro=4 elapsed=37.2s
optimizer_finished: update=2 micro=- elapsed=37.2s
forward_started: update=3 micro=1 elapsed=37.2s
backward_finished: update=3 micro=1 elapsed=39.9s
forward_started: update=3 micro=2 elapsed=39.9s
backward_finished: update=3 micro=2 elapsed=42.2s
forward_started: update=3 micro=3 elapsed=42.2s
backward_finished: update=3 micro=3 elapsed=45.2s
forward_started: update=3 micro=4 elapsed=45.2s
backward_finished: update=3 micro=4 elapsed=48.3s
optimizer_finished: update=3 micro=- elapsed=48.3s
